Country,Year,Population
Canada,1978,24014082
Canada,1979,24278047
Canada,1980,24537422
Canada,1981,24791139
Canada,1982,25040948
Canada,1983,25296840
Canada,1984,25571673
Canada,1985,25873949
Canada,1986,26208080
Canada,1987,26569766
Canada,1988,26947842
Canada,1989,27326166
Canada,1990,27692680
Canada,1991,28044606
Canada,1992,28384350
Canada,1993,28711303
Canada,1994,29026188
Canada,1995,29330073
Canada,1996,29622132
Canada,1997,29903150
Canada,1998,30178134
Canada,1999,30453884
Canada,2000,30735773
Canada,2001,31024732
Canada,2002,31320889
Canada,2003,31627806
Canada,2004,31949417
Canada,2005,32287980
Canada,2006,32645483
Canada,2007,33019932
Canada,2008,33404548
Canada,2009,33789831
Canada,2010,34168668
Canada,2011,34538622
Canada,2012,34900705
Canada,2013,35255495
Canada,2014,35604728
Canada,2015,35949709
Canada,2016,36289822
Canada,2017,36624199
Canada,2018,36953765
Canada,2019,37279811
Italy,1800,18822234
Italy,1801,18887712
Italy,1802,18953419
Italy,1803,19019354
Italy,1804,19085518
Italy,1805,19151912
Italy,1806,19218538
Italy,1807,19285395
Italy,1808,19352485
Italy,1809,19419808
Italy,1810,19491674
Italy,1811,19562329
Italy,1812,19636105
Italy,1813,19712990
Italy,1814,19793068
Italy,1815,19876329
Italy,1816,19962810
Italy,1817,20052546
Italy,1818,20145575
Italy,1819,20241933
Italy,1820,20341608
Italy,1821,20444686
Italy,1822,20551155
Italy,1823,20661099
Italy,1824,20774506
Italy,1825,20891413
Italy,1826,21011856
Italy,1827,21135871
Italy,1828,21263496
Italy,1829,21394765
Italy,1830,21529667
Italy,1831,21668286
Italy,1832,21807810
Italy,1833,21948190
Italy,1834,22089524
Italy,1835,22231714
Italy,1836,22374857
Italy,1837,22518905
Italy,1838,22663905
Italy,1839,22809810
Italy,1840,22956667
Italy,1841,23104476
Italy,1842,23253238
Italy,1843,23402952
Italy,1844,23553619
Italy,1845,23705238
Italy,1846,23857857
Italy,1847,24011476
Italy,1848,24166048
Italy,1849,24321619
Italy,1850,24478190
Italy,1851,24635572
Italy,1852,24793950
Italy,1853,24954372
Italy,1854,25117410
Italy,1855,25283207
Italy,1856,25452906
Italy,1857,25622696
Italy,1858,25789483
Italy,1859,25957457
Italy,1860,26127904
Italy,1861,26299205
Italy,1862,26471122
Italy,1863,26642797
Italy,1864,26812516
Italy,1865,26980519
Italy,1866,27150708
Italy,1867,27324084
Italy,1868,27498456
Italy,1869,27673254
Italy,1870,27845334
Italy,1871,28016030
Italy,1872,28189484
Italy,1873,28366170
Italy,1874,28539487
Italy,1875,28715117
Italy,1876,28893110
Italy,1877,29062712
Italy,1878,29249205
Italy,1879,29434811
Italy,1880,29621531
Italy,1881,29797208
Italy,1882,29994392
Italy,1883,30198837
Italy,1884,30391785
Italy,1885,30594499
Italy,1886,30799209
Italy,1887,31018274
Italy,1888,31236530
Italy,1889,31454328
Italy,1890,31665124
Italy,1891,31866466
Italy,1892,32067985
Italy,1893,32270863
Italy,1894,32474465
Italy,1895,32674427
Italy,1896,32871751
Italy,1897,33078067
Italy,1898,33290830
Italy,1899,33509677
Italy,1900,33736335
Italy,1901,33972983
Italy,1902,34199036
Italy,1903,34455129
Italy,1904,34722657
Italy,1905,35004504
Italy,1906,35303448
Italy,1907,35583197
Italy,1908,35894879
Italy,1909,36218347
Italy,1910,36529017
Italy,1911,36857936
Italy,1912,37082778
Italy,1913,37285296
Italy,1914,37562098
Italy,1915,37859548
Italy,1916,38010752
Italy,1917,37856484
Italy,1918,37559464
Italy,1919,37365256
Italy,1920,37422219
Italy,1921,37700706
Italy,1922,38054478
Italy,1923,38427238
Italy,1924,38786673
Italy,1925,39133783
Italy,1926,39479560
Italy,1927,39819674
Italy,1928,40141800
Italy,1929,40455931
Italy,1930,40771061
Italy,1931,41091521
Italy,1932,41411982
Italy,1933,41732109
Italy,1934,42064561
Italy,1935,42396680
Italy,1936,42721471
Italy,1937,43051259
Italy,1938,43422686
Italy,1939,43846746
Italy,1940,44284797
Italy,1941,44664219
Italy,1942,44942706
Italy,1943,45127920
Italy,1944,45273826
Italy,1945,45456375
Italy,1946,45706214
Italy,1947,46019013
Italy,1948,46354796
Italy,1949,46463649
Italy,1950,46598601
Italy,1951,47021900
Italy,1952,47411943
Italy,1953,47765978
Italy,1954,48084812
Italy,1955,48372842
Italy,1956,48638297
Italy,1957,48892969
Italy,1958,49151470
Italy,1959,49429946
Italy,1960,49742196
Italy,1961,50095597
Italy,1962,50487493
Italy,1963,50903660
Italy,1964,51322645
Italy,1965,51728664
Italy,1966,52115990
Italy,1967,52488486
Italy,1968,52851203
Italy,1969,53212820
Italy,1970,53578683
Italy,1971,53949930
Italy,1972,54321016
Italy,1973,54682627
Italy,1974,55022218
Italy,1975,55330694
Italy,1976,55604287
Italy,1977,55845068
Italy,1978,56057025
Italy,1979,56246800
Italy,1980,56419278
Italy,1981,56576504
Italy,1982,56717076
Italy,1983,56838675
Italy,1984,56937695
Italy,1985,57012352
Italy,1986,57061781
Italy,1987,57089451
Italy,1988,57103128
Italy,1989,57113159
Italy,1990,57127120
Italy,1991,57152516
Italy,1992,57188887
Italy,1993,57226647
Italy,1994,57251367
Italy,1995,57255193
Italy,1996,57229670
Italy,1997,57184901
Italy,1998,57153554
Italy,1999,57179989
Italy,2000,57293721
Italy,2001,57506367
Italy,2002,57801763
Italy,2003,58147037
Italy,2004,58494704
Italy,2005,58808483
Italy,2006,59079869
Italy,2007,59313511
Italy,2008,59502385
Italy,2009,59641853
Italy,2010,59729807
Italy,2011,59759929
Italy,2012,59733834
Italy,2013,59668000
Italy,2014,59585668
Italy,2015,59504212
Italy,2016,59429938
Italy,2017,59359900
Italy,2018,59290969
Italy,2019,59216525
Russia,1800,31088398
Russia,1801,31088398
Russia,1802,31088398
Russia,1803,31088398
Russia,1804,31088398
Russia,1805,31088398
Russia,1806,31088398
Russia,1807,31088398
Russia,1808,31088398
Russia,1809,31088398
Russia,1810,31088398
Russia,1811,31102069
Russia,1812,31129537
Russia,1813,31170930
Russia,1814,31226377
Russia,1815,31296006
Russia,1816,31379950
Russia,1817,31478339
Russia,1818,31591309
Russia,1819,31718992
Russia,1820,31861526
Russia,1821,32019047
Russia,1822,32191694
Russia,1823,32379606
Russia,1824,32582925
Russia,1825,32801792
Russia,1826,33036351
Russia,1827,33286748
Russia,1828,33553128
Russia,1829,33835639
Russia,1830,34134430
Russia,1831,34449651
Russia,1832,34767783
Russia,1833,35088853
Russia,1834,35412888
Russia,1835,35739915
Russia,1836,36069962
Russia,1837,36403057
Russia,1838,36739229
Russia,1839,37078504
Russia,1840,37420913
Russia,1841,37766484
Russia,1842,38115246
Russia,1843,38467229
Russia,1844,38822462
Russia,1845,39180976
Russia,1846,39542800
Russia,1847,39907966
Russia,1848,40276504
Russia,1849,40648445
Russia,1850,41023821
Russia,1851,41402026
Russia,1852,41783717
Russia,1853,42168926
Russia,1854,42557687
Russia,1855,42950032
Russia,1856,43345995
Russia,1857,43745607
Russia,1858,44148904
Russia,1859,44555919
Russia,1860,44966686
Russia,1861,45381240
Russia,1862,45799615
Russia,1863,46221848
Russia,1864,46647973
Russia,1865,47078027
Russia,1866,47512046
Russia,1867,47950066
Russia,1868,48392124
Russia,1869,48838257
Russia,1870,49288504
Russia,1871,49742901
Russia,1872,50201487
Russia,1873,50650041
Russia,1874,51116990
Russia,1875,51588245
Russia,1876,52063844
Russia,1877,52530515
Russia,1878,53014801
Russia,1879,53503551
Russia,1880,53996807
Russia,1881,54482337
Russia,1882,54984617
Russia,1883,55491527
Russia,1884,55992073
Russia,1885,56508271
Russia,1886,57029228
Russia,1887,57545264
Russia,1888,58075781
Russia,1889,58611190
Russia,1890,59151534
Russia,1891,59696859
Russia,1892,60247212
Russia,1893,60802639
Russia,1894,61363186
Russia,1895,61928901
Russia,1896,62499831
Russia,1897,63076025
Russia,1898,63657531
Russia,1899,64244398
Russia,1900,64836675
Russia,1901,65434412
Russia,1902,66028362
Russia,1903,66637086
Russia,1904,67251421
Russia,1905,67871420
Russia,1906,68497135
Russia,1907,69114992
Russia,1908,69752171
Russia,1909,70395225
Russia,1910,71044207
Russia,1911,71695134
Russia,1912,72356100
Russia,1913,73023160
Russia,1914,73696369
Russia,1915,74375785
Russia,1916,75061464
Russia,1917,75753465
Russia,1918,76453419
Russia,1919,77159443
Russia,1920,77871987
Russia,1921,78591111
Russia,1922,79316876
Russia,1923,80049344
Russia,1924,80788575
Russia,1925,81534633
Russia,1926,82287581
Russia,1927,83047482
Russia,1928,83814400
Russia,1929,84588401
Russia,1930,85369549
Russia,1931,86157911
Russia,1932,86953553
Russia,1933,87756543
Russia,1934,88566948
Russia,1935,89384837
Russia,1936,90210279
Russia,1937,91043344
Russia,1938,91884101
Russia,1939,92732623
Russia,1940,93588981
Russia,1941,94453247
Russia,1942,95325494
Russia,1943,96205796
Russia,1944,97094227
Russia,1945,97990863
Russia,1946,98895779
Russia,1947,99809052
Russia,1948,100730758
Russia,1949,101660976
Russia,1950,102798657
Russia,1951,104306139
Russia,1952,105969201
Russia,1953,107729374
Russia,1954,109537789
Russia,1955,111355221
Russia,1956,113152375
Russia,1957,114909591
Russia,1958,116615773
Russia,1959,118266782
Russia,1960,119860288
Russia,1961,121390406
Russia,1962,122842950
Russia,1963,124193394
Russia,1964,125412625
Russia,1965,126483875
Russia,1966,127395883
Russia,1967,128164764
Russia,1968,128836021
Russia,1969,129472835
Russia,1970,130123431
Russia,1971,130805201
Russia,1972,131514099
Russia,1973,132250780
Russia,1974,133008905
Russia,1975,133784384
Russia,1976,134580091
Russia,1977,135402802
Russia,1978,136255397
Russia,1979,137140562
Russia,1980,138058710
Russia,1981,139002314
Russia,1982,139964753
Russia,1983,140946861
Russia,1984,141950629
Russia,1985,142971168
Russia,1986,144011513
Russia,1987,145051663
Russia,1988,146035578
Russia,1989,146890544
Russia,1990,147564066
Russia,1991,148035898
Russia,1992,148318025
Russia,1993,148431373
Russia,1994,148411855
Russia,1995,148288839
Russia,1996,148073924
Russia,1997,147768371
Russia,1998,147381001
Russia,1999,146919737
Russia,2000,146396514
Russia,2001,145814864
Russia,2002,145194882
Russia,2003,144584695
Russia,2004,144044607
Russia,2005,143618185
Russia,2006,143322933
Russia,2007,143150142
Russia,2008,143083187
Russia,2009,143092765
Russia,2010,143153869
Russia,2011,143263988
Russia,2012,143420597
Russia,2013,143597230
Russia,2014,143761378
Russia,2015,143888004
Russia,2016,143964513
Russia,2017,143989754
Russia,2018,143964709
Russia,2019,143895551
United States,1800,6801854
United States,1801,6933517
United States,1802,7067728
United States,1803,7204538
United States,1804,7343995
United States,1805,7486152
United States,1806,7631061
United States,1807,7778775
United States,1808,7929348
United States,1809,8082836
United States,1810,8294928
United States,1811,8461458
United States,1812,8637266
United States,1813,8822188
United States,1814,9016100
United States,1815,9218879
United States,1816,9430398
United States,1817,9650391
United States,1818,9879049
United States,1819,10116052
United States,1820,10361646
United States,1821,10619707
United States,1822,10890141
United States,1823,11172754
United States,1824,11467399
United States,1825,11773972
United States,1826,12092272
United States,1827,12422142
United States,1828,12763468
United States,1829,13116042
United States,1830,13480460
United States,1831,13865012
United States,1832,14263511
United States,1833,14675576
United States,1834,15101254
United States,1835,15540591
United States,1836,15993540
United States,1837,16460100
United States,1838,16940409
United States,1839,17434191
United States,1840,17942443
United States,1841,18474109
United States,1842,19025173
United States,1843,19600367
United States,1844,20190176
United States,1845,20799382
United States,1846,21427984
United States,1847,22075981
United States,1848,22743373
United States,1849,23430112
United States,1850,24136293
United States,1851,24868743
United States,1852,25612348
United States,1853,26367214
United States,1854,27133300
United States,1855,27910664
United States,1856,28699219
United States,1857,29499069
United States,1858,30310175
United States,1859,31132594
United States,1860,31967054
United States,1861,32812854
United States,1862,33669274
United States,1863,34536322
United States,1864,35409205
United States,1865,36297290
United States,1866,37196214
United States,1867,38105747
United States,1868,39025895
United States,1869,39956714
United States,1870,40899168
United States,1871,41864092
United States,1872,42850881
United States,1873,43779477
United States,1874,44804825
United States,1875,45854330
United States,1876,46928064
United States,1877,47943934
United States,1878,49070729
United States,1879,50223581
United States,1880,51402380
United States,1881,52535214
United States,1882,53747586
United States,1883,54977652
United States,1884,56183427
United States,1885,57461503
United States,1886,58761421
United States,1887,60076634
United States,1888,61398560
United States,1889,62723605
United States,1890,64051772
United States,1891,65383061
United States,1892,66717384
United States,1893,68054833
United States,1894,69395412
United States,1895,70738201
United States,1896,72101160
United States,1897,73489831
United States,1898,74894652
United States,1899,76321444
United States,1900,77781471
United States,1901,79271164
United States,1902,80720441
United States,1903,82271907
United States,1904,83870024
United States,1905,85524307
United States,1906,87227466
United States,1907,88838846
United States,1908,90615785
United States,1909,92361978
United States,1910,94088789
United States,1911,95858318
United States,1912,97526183
United States,1913,99341521
United States,1914,101146653
United States,1915,102789834
United States,1916,104282472
United States,1917,105675729
United States,1918,106721812
United States,1919,107762377
United States,1920,109122856
United States,1921,110824642
United States,1922,112694536
United States,1923,114594315
United States,1924,116564054
United States,1925,118421721
United States,1926,120100754
United States,1927,121692507
United States,1928,123182716
United States,1929,124597532
United States,1930,125841184
United States,1931,126924880
United States,1932,127777981
United States,1933,128574367
United States,1934,129397242
United States,1935,130246607
United States,1936,131090878
United States,1937,131979638
United States,1938,132950244
United States,1939,134027827
United States,1940,135198123
United States,1941,136504604
United States,1942,138078697
United States,1943,139781842
United States,1944,141509778
United States,1945,143095078
United States,1946,145048176
United States,1947,147333413
United States,1948,149992561
United States,1949,154449957
United States,1950,158804395
United States,1951,160905035
United States,1952,163324851
United States,1953,165988190
United States,1954,168827613
United States,1955,171783842
United States,1956,174805941
United States,1957,177851156
United States,1958,180884458
United States,1959,183877873
United States,1960,186808228
United States,1961,189654905
United States,1962,192397741
United States,1963,195016211
United States,1964,197491844
United States,1965,199815540
United States,1966,201975222
United States,1967,203981928
United States,1968,205880418
United States,1969,207733004
United States,1970,209588150
United States,1971,211461598
United States,1972,213351773
United States,1973,215268687
United States,1974,217218393
United States,1975,219205296
United States,1976,221239215
United States,1977,223324042
United States,1978,225449657
United States,1979,227599878
United States,1980,229763052
United States,1981,231938963
United States,1982,234132632
United States,1983,236344004
United States,1984,238573861
United States,1985,240824120
United States,1986,243098935
United States,1987,245402864
United States,1988,247739582
United States,1989,250113187
United States,1990,252529950
United States,1991,254974819
United States,1992,257454273
United States,1993,260020186
United States,1994,262741566
United States,1995,265658849
United States,1996,268803424
United States,1997,272136551
United States,1998,275542603
United States,1999,278862277
United States,2000,281982778
United States,2001,284852391
United States,2002,287506847
United States,2003,290027624
United States,2004,292539324
United States,2005,295129501
United States,2006,297827356
United States,2007,300595175
United States,2008,303374067
United States,2009,306076362
United States,2010,308641391
United States,2011,311051373
United States,2012,313335423
United States,2013,315536676
United States,2014,317718779
United States,2015,319929162
United States,2016,322179605
United States,2017,324459463
United States,2018,326766748
United States,2019,329093110
United Kingdom,1800,12327466
United Kingdom,1801,12483870
United Kingdom,1802,12642258
United Kingdom,1803,12802656
United Kingdom,1804,12965089
United Kingdom,1805,13129582
United Kingdom,1806,13296163
United Kingdom,1807,13464857
United Kingdom,1808,13635691
United Kingdom,1809,13808693
United Kingdom,1810,14106058
United Kingdom,1811,14301320
United Kingdom,1812,14500244
United Kingdom,1813,14702894
United Kingdom,1814,14909411
United Kingdom,1815,15119712
United Kingdom,1816,15333999
United Kingdom,1817,15551268
United Kingdom,1818,15771669
United Kingdom,1819,15995162
United Kingdom,1820,16221883
United Kingdom,1821,16451787
United Kingdom,1822,16682172
United Kingdom,1823,16912989
United Kingdom,1824,17144281
United Kingdom,1825,17375946
United Kingdom,1826,17608039
United Kingdom,1827,17839930
United Kingdom,1828,18071524
United Kingdom,1829,18302902
United Kingdom,1830,18533999
United Kingdom,1831,18764509
United Kingdom,1832,18995771
United Kingdom,1833,19226422
United Kingdom,1834,19457565
United Kingdom,1835,19688735
United Kingdom,1836,19919671
United Kingdom,1837,20141112
United Kingdom,1838,20350068
United Kingdom,1839,20548774
United Kingdom,1840,20737251
United Kingdom,1841,20915358
United Kingdom,1842,21094173
United Kingdom,1843,21275563
United Kingdom,1844,21459924
United Kingdom,1845,21647964
United Kingdom,1846,21840183
United Kingdom,1847,22033306
United Kingdom,1848,22228262
United Kingdom,1849,22425120
United Kingdom,1850,22623571
United Kingdom,1851,22824472
United Kingdom,1852,23028186
United Kingdom,1853,23232527
United Kingdom,1854,23439085
United Kingdom,1855,23647215
United Kingdom,1856,23857026
United Kingdom,1857,24069022
United Kingdom,1858,24292422
United Kingdom,1859,24531413
United Kingdom,1860,24783522
United Kingdom,1861,25048935
United Kingdom,1862,25323118
United Kingdom,1863,25601036
United Kingdom,1864,25882516
United Kingdom,1865,26167427
United Kingdom,1866,26455324
United Kingdom,1867,26746069
United Kingdom,1868,27042186
United Kingdom,1869,27344393
United Kingdom,1870,27651629
United Kingdom,1871,27963427
United Kingdom,1872,28277127
United Kingdom,1873,28576347
United Kingdom,1874,28895645
United Kingdom,1875,29216495
United Kingdom,1876,29539437
United Kingdom,1877,29858848
United Kingdom,1878,30187748
United Kingdom,1879,30518169
United Kingdom,1880,30849957
United Kingdom,1881,31198494
United Kingdom,1882,31537202
United Kingdom,1883,31874763
United Kingdom,1884,32216786
United Kingdom,1885,32548677
United Kingdom,1886,32879150
United Kingdom,1887,33198283
United Kingdom,1888,33530088
United Kingdom,1889,33869468
United Kingdom,1890,34215581
United Kingdom,1891,34568466
United Kingdom,1892,34928203
United Kingdom,1893,35295485
United Kingdom,1894,35670119
United Kingdom,1895,36051800
United Kingdom,1896,36439319
United Kingdom,1897,36828635
United Kingdom,1898,37218006
United Kingdom,1899,37607118
United Kingdom,1900,37995760
United Kingdom,1901,38384249
United Kingdom,1902,38777694
United Kingdom,1903,39162546
United Kingdom,1904,39545834
United Kingdom,1905,39927930
United Kingdom,1906,40309911
United Kingdom,1907,40686070
United Kingdom,1908,41076866
United Kingdom,1909,41462503
United Kingdom,1910,41804914
United Kingdom,1911,42161533
United Kingdom,1912,42416767
United Kingdom,1913,42689945
United Kingdom,1914,43017770
United Kingdom,1915,43325210
United Kingdom,1916,43529628
United Kingdom,1917,43608877
United Kingdom,1918,43596369
United Kingdom,1919,43644589
United Kingdom,1920,43825722
United Kingdom,1921,44137847
United Kingdom,1922,44431070
United Kingdom,1923,44712605
United Kingdom,1924,44942041
United Kingdom,1925,45154445
United Kingdom,1926,45312745
United Kingdom,1927,45486075
United Kingdom,1928,45633020
United Kingdom,1929,45792323
United Kingdom,1930,45957971
United Kingdom,1931,46179392
United Kingdom,1932,46397807
United Kingdom,1933,46595515
United Kingdom,1934,46773520
United Kingdom,1935,46960876
United Kingdom,1936,47168938
United Kingdom,1937,47378002
United Kingdom,1938,47681913
United Kingdom,1939,47994840
United Kingdom,1940,48235965
United Kingdom,1941,48372558
United Kingdom,1942,48560582
United Kingdom,1943,48827756
United Kingdom,1944,49088919
United Kingdom,1945,49231857
United Kingdom,1946,49399843
United Kingdom,1947,49677704
United Kingdom,1948,50043399
United Kingdom,1949,50409765
United Kingdom,1950,50616014
United Kingdom,1951,50621416
United Kingdom,1952,50686055
United Kingdom,1953,50797274
United Kingdom,1954,50945397
United Kingdom,1955,51123707
United Kingdom,1956,51328662
United Kingdom,1957,51559670
United Kingdom,1958,51818623
United Kingdom,1959,52108972
United Kingdom,1960,52433157
United Kingdom,1961,52789816
United Kingdom,1962,53171326
United Kingdom,1963,53562805
United Kingdom,1964,53945019
United Kingdom,1965,54303107
United Kingdom,1966,54630989
United Kingdom,1967,54928528
United Kingdom,1968,55194456
United Kingdom,1969,55429643
United Kingdom,1970,55634935
United Kingdom,1971,55809750
United Kingdom,1972,55953322
United Kingdom,1973,56066830
United Kingdom,1974,56152179
United Kingdom,1975,56211947
United Kingdom,1976,56247405
United Kingdom,1977,56262020
United Kingdom,1978,56263661
United Kingdom,1979,56262127
United Kingdom,1980,56265475
United Kingdom,1981,56276315
United Kingdom,1982,56296240
United Kingdom,1983,56330877
United Kingdom,1984,56386226
United Kingdom,1985,56466131
United Kingdom,1986,56574280
United Kingdom,1987,56709208
United Kingdom,1988,56862893
United Kingdom,1989,57023746
United Kingdom,1990,57183331
United Kingdom,1991,57339447
United Kingdom,1992,57494538
United Kingdom,1993,57650473
United Kingdom,1994,57810771
United Kingdom,1995,57978321
United Kingdom,1996,58156745
United Kingdom,1997,58346673
United Kingdom,1998,58544938
United Kingdom,1999,58746728
United Kingdom,2000,58950848
United Kingdom,2001,59149343
United Kingdom,2002,59348953
United Kingdom,2003,59580222
United Kingdom,2004,59884128
United Kingdom,2005,60286754
United Kingdom,2006,60802801
United Kingdom,2007,61414660
United Kingdom,2008,62076221
United Kingdom,2009,62722607
United Kingdom,2010,63306843
United Kingdom,2011,63811882
United Kingdom,2012,64250330
United Kingdom,2013,64641110
United Kingdom,2014,65015686
United Kingdom,2015,65397080
United Kingdom,2016,65788574
United Kingdom,2017,66181585
United Kingdom,2018,66573504
United Kingdom,2019,66959016
